upstream_002
             x                       y                       z
  -1.08279e-02            -3.07127e-02             2.29600e-01
  -1.11397e-02            -3.02244e-02             2.29600e-01
  -1.14059e-02            -2.93781e-02             2.29600e-01
  -1.14071e-02            -2.82593e-02             2.29600e-01
  -1.12787e-02            -2.68324e-02             2.29600e-01
  -1.10098e-02            -2.51176e-02             2.29600e-01
  -1.05960e-02            -2.31361e-02             2.29600e-01
  -1.00516e-02            -2.09062e-02             2.29600e-01
  -9.38167e-03            -1.84528e-02             2.29600e-01
  -8.58899e-03            -1.58042e-02             2.29600e-01
  -7.67130e-03            -1.29933e-02             2.29600e-01
  -6.62906e-03            -1.00544e-02             2.29600e-01
  -5.45997e-03            -7.02438e-03             2.29600e-01
  -4.16845e-03            -3.93951e-03             2.29600e-01
  -2.77837e-03            -8.30118e-04             2.29600e-01
  -1.32037e-03             2.27515e-03             2.29600e-01
   1.71488e-04             5.34866e-03             2.29600e-01
   1.66216e-03             8.36331e-03             2.29600e-01
   3.11849e-03             1.12920e-02             2.29600e-01
   4.50689e-03             1.41089e-02             2.29600e-01
   5.79425e-03             1.67895e-02             2.29600e-01
   6.95582e-03             1.93080e-02             2.29600e-01
   7.97798e-03             2.16373e-02             2.29600e-01
   8.83189e-03             2.37580e-02             2.29600e-01
   9.51253e-03             2.56455e-02             2.29600e-01
   1.00631e-02             2.72610e-02             2.29600e-01
   1.03809e-02             2.86211e-02             2.29600e-01
   1.06032e-02             2.96611e-02             2.29600e-01
   1.07527e-02             3.03609e-02             2.29600e-01
   1.08307e-02             3.07117e-02             2.29600e-01

   9.96837e-03             3.00187e-02             2.48300e-01
   9.94174e-03             2.96624e-02             2.48300e-01
   9.88878e-03             2.89536e-02             2.48300e-01
   9.81006e-03             2.79002e-02             2.48300e-01
